U+4E00: yī  # 一
U+5DBA: lǐng  # 嶺
U+5DBC: yǔ  # 嶼
U+5DCD: wēi  # 巍
U+5DD2: luán  # 巒
U+5DDE: zhōu  # 州
U+5DE1: xún  # 巡
U+5DE2: cháo  # 巢
U+5DE5: gōng  # 工
U+5DE6: zuǒ  # 左
U+5DE7: qiǎo  # 巧
U+5DE8: jù  # 巨
U+5DE9: gǒng  # 巩
U+5DEE: chà,chā,chāi  # 差
U+5DF1: jǐ  # 己
U+5DF2: yǐ  # 已
U+5DF4: ba,bā  # 巴
U+5DF7: xiàng  # 巷
U+5DFE: jīn  # 巾
U+5E01: bì  # 币
U+5E02: shì  # 市
U+5E03: bù  # 布
U+5E05: shuài  # 帅
U+5E06: fān  # 帆
U+5E08: shī  # 师
U+5E0C: xī  # 希
U+5E10: zhàng  # 帐
U+5E15: pà  # 帕
U+5E18: lián  # 帘
U+5E1A: zhou  # 帚
U+5E1C: zhì  # 帜
U+5E1D: dì  # 帝
U+5E25: shuài  # 帥
U+5E26: dài  # 带
U+5E2B: shī  # 師
U+5E2D: xí  # 席
U+5E2E: bāng  # 帮
U+5E33: zhàng  # 帳
U+5E36: dài  # 帶
U+5E38: cháng  # 常
U+5E3D: mào  # 帽
U+5E45: fú  # 幅
U+5E55: mù  # 幕
U+5E5F: zhì  # 幟
U+5E63: bì  # 幣
U+5E6B: bāng  # 幫
U+5E72: gàn,gān  # 干
U+5E73: píng  # 平
U+5E74: nián  # 年
U+5E76: bìng  # 并
U+5E78: xìng  # 幸
U+5E7B: huàn  # 幻
U+5E7C: yòu  # 幼
U+5E7E: jǐ  # 幾
U+5E7F: guǎng  # 广
U+5E84: zhuāng  # 庄
U+5E86: qìng  # 庆
U+5E8A: chuáng  # 床
U+5E8F: xù  # 序
U+5E93: kù  # 库
U+5E94: yīng,yìng,ying  # 应
U+5E95: dǐ  # 底
U+5E97: diàn  # 店
U+5E99: miào  # 庙
U+5E9C: fǔ  # 府
U+5E9E: páng  # 庞
U+5E9F: fèi  # 废
U+5EA6: dù,du  # 度
U+5EA7: zuò  # 座
U+5EAB: kù  # 庫
U+5EAD: tíng  # 庭
U+5EB7: kāng  # 康
U+5EB8: yōng  # 庸
U+5EC1: cè  # 廁
U+5EC2: xiāng  # 廂
U+5EC8: shà  # 廈
U+5EC9: lián  # 廉
U+5ED3: kuò  # 廓
U+5EDA: chú  # 廚
U+5EDF: miào  # 廟
U+5EE0: chǎng  # 廠
U+5EE2: fèi  # 廢
U+5EE3: guǎng  # 廣
U+5EF3: tīng  # 廳
U+5EF6: yán  # 延
U+5EFA: jiàn  # 建
U+5EFF: niàn  # 廿
U+5F00: kāi  # 开
U+5F02: yì  # 异
U+5F03: qì  # 弃
U+5F04: nòng  # 弄
U+5F0F: shì,shi  # 式
U+5F13: gōng  # 弓
U+5F15: yǐn  # 引
U+5F1F: dì,di  # 弟
U+5F20: zhāng  # 张
U+5F25: mí  # 弥
U+5F26: xián  # 弦
U+5F2F: wān  # 弯
U+5F31: ruò  # 弱
U+5F35: zhāng  # 張
U+5F37: qiáng,qiǎng  # 強
U+5F39: dàn,tán,tan  # 弹
U+5F3A: qiáng,qiǎng  # 强
U+5F48: dàn,tán,tan  # 彈
U+5F4C: mí  # 彌
U+5F4E: wān  # 彎
U+5F52: guī  # 归
U+5F53: dāng,dàng,dang  # 当
U+5F55: lù  # 录
U+5F62: xíng,xing  # 形
U+5F69: cǎi,cai  # 彩
U+5F71: yǐng  # 影
U+5F79: yì  # 役
U+5F7B: chè  # 彻
U+5F7C: bǐ  # 彼
U+5F80: wǎng,wàng  # 往
U+5F81: zhēng  # 征
U+5F84: jìng  # 径
U+5F85: dài  # 待
U+5F88: hěn  # 很
U+5F8A: huái  # 徊
U+5F8B: lǜ  # 律
U+5F90: xú  # 徐
U+5F91: jìng  # 徑
U+5F92: tú  # 徒
U+5F97: de,dé,děi  # 得
U+5F98: pái  # 徘
U+5F9E: cóng,cōng  # 從
U+5FA1: yù  # 御
U+5FAA: xún  # 循
U+5FAE: wēi  # 微
U+5FB7: dé  # 德
U+5FB9: chè  # 徹
U+5FC3: xīn,xin  # 心
U+5FC5: bì  # 必
U+5FC6: yì  # 忆
U+5FCD: rěn  # 忍
U+5FD7: zhì  # 志
U+5FD8: wàng  # 忘
U+5FD9: máng  # 忙
U+5FE0: zhōng  # 忠
U+5FE7: yōu  # 忧
U+5FEB: kuài,kuai  # 快
U+5FF1: chén  # 忱
U+5FF5: niàn  # 念
U+5FFD: hū  # 忽
U+5FFF: fèn  # 忿
U+6000: huái  # 怀
U+6001: tài  # 态
U+600E: zěn  # 怎
U+6012: nù  # 怒
U+6014: zhēng  # 怔
U+6015: pà  # 怕
U+6016: bù  # 怖
U+601C: lián  # 怜
U+601D: sī,si  # 思
U+6025: jí  # 急
U+6026: pēng  # 怦
U+6027: xìng,xing  # 性
U+6028: yuàn,yuan  # 怨
U+602A: guài  # 怪
U+602F: qiè  # 怯
U+603B: zǒng  # 总
U+6046: héng  # 恆
U+604B: liàn  # 恋
U+604D: huǎng  # 恍
U+6050: kǒng  # 恐
U+6052: héng  # 恒
U+6062: huī  # 恢
U+6065: chǐ  # 恥
U+6068: hèn  # 恨
U+606F: xi,xī  # 息
U+6070: qià  # 恰
U+6073: kěn  # 恳
U+6076: è,wù  # 恶
U+607C: nǎo  # 恼
U+6084: qiāo  # 悄
U+6085: yuè  # 悅
U+6089: xī  # 悉
U+6094: huǐ  # 悔
U+609F: wù  # 悟
U+60A0: yōu  # 悠
U+60A3: huàn  # 患
U+60A6: yuè  # 悦
U+60A8: nín  # 您
U+60AC: xuán  # 悬
U+60B2: bēi  # 悲
U+60B6: mèn,mēn  # 悶
U+60BC: dào  # 悼
U+60C5: qíng,qing  # 情
U+60CA: jīng  # 惊
U+60CB: wǎn  # 惋
U+60D1: huò,huo  # 惑
U+60D5: tì  # 惕
U+60DA: hū  # 惚
U+60DC: xī  # 惜
U+60DF: wéi  # 惟
U+60E1: è,wù  # 惡
U+60E6: diàn  # 惦
U+60E7: jù  # 惧
U+60E8: cǎn  # 惨
U+60E9: chéng  # 惩
U+60ED: cán  # 惭
U+60EF: guàn  # 惯
U+60F1: nǎo  # 惱
U+60F3: xiǎng  # 想
U+60F6: huáng  # 惶
U+60F9: rě  # 惹
U+6101: chóu  # 愁
U+6108: yù  # 愈
U+6109: yú  # 愉
U+610F: yì,yi  # 意
U+6115: è  # 愕
U+611A: yú  # 愚
U+611B: ài  # 愛
U+611F: gǎn  # 感
U+6123: lèng  # 愣
U+6124: fèn  # 愤
U+6127: kuì  # 愧
U+613F: yuàn  # 愿
U+6148: cí  # 慈
U+614B: tài  # 態
U+614C: huāng,huang  # 慌
U+614E: shèn  # 慎
U+6155: mù  # 慕
U+6158: cǎn  # 慘
U+615A: cán  # 慚
U+6162: màn  # 慢
U+6163: guàn  # 慣
U+6167: huì  # 慧
U+6168: kǎi  # 慨
U+616E: lǜ  # 慮
U+6170: wèi  # 慰
U+6176: qìng  # 慶
U+6177: kāng  # 慷
U+6182: yōu  # 憂
U+618B: biē  # 憋
U+6190: lián  # 憐
U+6191: píng  # 憑
U+61A4: fèn  # 憤
U+61A7: chōng  # 憧
U+61AC: jǐng  # 憬
U+61B2: xiàn  # 憲
U+61B6: yì  # 憶
U+61BE: hàn  # 憾
U+61C2: dǒng  # 懂
U+61C7: kěn  # 懇
U+61C9: yīng,yìng,ying  # 應
U+61D2: lǎn  # 懒
U+61F2: chéng  # 懲
U+61F6: lǎn  # 懶
U+61F7: huái  # 懷
U+61F8: xuán  # 懸
U+61FC: jù  # 懼
U+6200: liàn  # 戀
U+620F: xì  # 戏
U+6210: chéng,cheng  # 成
U+6211: wǒ  # 我
U+6212: jiè  # 戒
U+6216: huò  # 或
U+6218: zhàn  # 战
U+621A: qi  # 戚
U+622A: jié  # 截
U+6230: zhàn  # 戰
U+6232: xì  # 戲
U+6234: dài  # 戴
U+6236: hù,hu  # 戶
U+6237: hù,hu  # 户
U+623F: fáng  # 房
U+6240: suǒ  # 所
U+6241: biǎn  # 扁
U+6247: shàn,shān  # 扇
U+624B: shǒu,shou  # 手
U+624D: cái,cai  # 才
U+624E: zhā,zhá  # 扎
U+6251: pū  # 扑
U+6252: bā  # 扒
U+6253: dǎ,da  # 打
U+6254: rēng  # 扔
U+6258: tuō  # 托
U+625B: káng  # 扛
U+6263: kòu  # 扣
U+6267: zhí  # 执
U+6269: kuò  # 扩
U+626B: sǎo,sào  # 扫
U+626C: yáng  # 扬
U+626D: niǔ,niu  # 扭
U+626E: ban,bàn  # 扮
U+626F: chě,che  # 扯
U+6270: rǎo  # 扰
U+6273: bān  # 扳
U+6276: fú  # 扶
U+6279: pī  # 批
U+627E: zhǎo  # 找
U+627F: chéng  # 承
U+6280: jì  # 技
U+6284: chāo  # 抄
U+628A: bǎ  # 把
U+6291: yì  # 抑
U+6293: zhuā  # 抓
U+6295: tóu  # 投
U+6296: dǒu  # 抖
U+6297: kàng  # 抗
U+6298: zhé,zhē,shé  # 折
U+629A: fǔ  # 抚
U+629B: pāo  # 抛
U+62A1: lūn  # 抡
U+62A2: qiǎng  # 抢
U+62A4: hù  # 护
U+62A5: bào  # 报
U+62AB: pī  # 披
U+62AC: tái  # 抬
U+62B1: bào  # 抱
U+62B5: dǐ  # 抵
U+62B9: mǒ,mā  # 抹
U+62BC: yā  # 押
U+62BD: chōu  # 抽
U+62BF: mǐn  # 抿
U+62C4: zhǔ  # 拄
U+62C5: dān,dàn,dan  # 担
U+62C6: chāi  # 拆
U+62C7: mu  # 拇
U+62C9: lā,la  # 拉
U+62CB: pāo  # 拋
U+62CC: bàn  # 拌
U+62CD: pāi  # 拍
U+62D0: guǎi  # 拐
U+62D2: jù  # 拒
U+62D4: bá,ba  # 拔
U+62D6: tuō  # 拖
U+62D8: jū  # 拘
U+62DB: zhāo  # 招
U+62DC: bài  # 拜
U+62DF: nǐ  # 拟
U+62E2: lǒng  # 拢
U+62E3: jiǎn  # 拣
U+62E5: yōng  # 拥
U+62E6: lán  # 拦
U+62E7: níng  # 拧
U+62E8: bō  # 拨
U+62E9: zé  # 择
U+62EC: kuò  # 括
U+62ED: shì  # 拭
U+62F1: gǒng  # 拱
U+62F3: quán  # 拳
U+62F4: shuān  # 拴
U+62FC: pīn  # 拼
U+62FE: shi,shí  # 拾
U+62FF: ná  # 拿
U+6301: chí  # 持
U+6302: guà  # 挂
U+6307: zhǐ,zhí,zhī  # 指
U+6309: àn  # 按
U+630E: kuà  # 挎
U+6311: tiāo,tiǎo  # 挑
U+6316: wā  # 挖
U+631F: xié  # 挟
U+6321: dǎng  # 挡
U+6323: zhēng,zhèng  # 挣
U+6324: jǐ  # 挤
U+6325: huī  # 挥
U+6328: āi  # 挨
U+632B: cuò  # 挫
U+632F: zhèn  # 振
U+633A: tǐng  # 挺
U+633D: wǎn  # 挽
U+633E: xié  # 挾
U+6342: wǔ  # 捂
U+6346: kǔn  # 捆
U+6349: zhuō  # 捉
U+634D: hàn  # 捍
U+634E: shāo  # 捎
U+634F: niē  # 捏
U+6350: juān  # 捐
U+6355: bǔ  # 捕
U+635E: lāo  # 捞
U+635F: sǔn  # 损
U+6361: jiǎn  # 捡
U+6362: huàn  # 换
U+6363: dǎo  # 捣
U+6367: pěng  # 捧
U+636E: jù  # 据
U+6376: chuí  # 捶
U+6377: jié  # 捷
U+637B: niǎn  # 捻
U+6380: xiān  # 掀
U+6383: sǎo,sào  # 掃
U+6384: lūn  # 掄
U+6388: shòu  # 授
U+6389: diào  # 掉
U+638C: zhǎng,zhang  # 掌
U+638F: tāo  # 掏
U+6390: qiā  # 掐
U+6392: pái  # 排
U+6398: jué  # 掘
U+6399: zhēng,zhèng  # 掙
U+639B: guà  # 掛
U+63A0: lüè  # 掠
U+63A2: tàn,tan  # 探
U+63A5: jiē  # 接
U+63A7: kòng  # 控
U+63A8: tuī  # 推
U+63A9: yǎn  # 掩
U+63AA: cuò  # 措
U+63B0: bāi  # 掰
U+63B7: zhì  # 掷
U+63C0: jiǎn  # 揀
U+63C9: róu  # 揉
U+63CD: zòu  # 揍
U+63CF: miáo  # 描
U+63D0: tí  # 提
U+63D2: chā  # 插
U+63DA: yáng  # 揚
U+63DB: huàn  # 換
U+63E1: wò  # 握
U+63E3: chuāi  # 揣
U+63E9: kāi  # 揩
U+63EA: jiū  # 揪
U+63ED: jiē  # 揭
U+63EE: huī  # 揮
U+63F4: yuán  # 援
U+6400: chān  # 搀
U+6401: gē,ge  # 搁
U+6402: lǒu  # 搂
U+6405: jiǎo  # 搅
U+640D: sǔn  # 損
U+640F: bó  # 搏
U+6413: cuō  # 搓
U+6414: sāo  # 搔
U+6416: yáo  # 搖
U+6417: dǎo  # 搗
U+641C: sōu  # 搜
U+641E: gǎo  # 搞
U+642A: táng  # 搪
U+642C: bān  # 搬
U+642D: dā  # 搭
U+6436: qiǎng  # 搶
U+643A: xié  # 携
U+6444: shè  # 摄
U+6446: bǎi  # 摆
U+6447: yáo  # 摇
U+644A: tān  # 摊
U+6454: shuāi  # 摔
U+6458: zhāi  # 摘
U+645F: lǒu  # 摟
U+6467: cuī  # 摧
U+6469: mó  # 摩
U+6478: mō,mo  # 摸
U+6482: liào  # 撂
U+6485: juē  # 撅
U+6488: lāo  # 撈
U+6490: chēng,cheng  # 撐
U+6491: chēng,cheng  # 撑
U+6492: sā,sǎ  # 撒
U+6495: sī  # 撕
U+649E: zhuàng  # 撞
U+64A4: chè  # 撤
U+64A5: bō  # 撥
U+64A9: liāo  # 撩
U+64AB: fǔ  # 撫
U+64AD: bō  # 播
U+64B2: pū  # 撲
U+64B5: niǎn  # 撵
U+64BC: hàn  # 撼
U+64BF: jiǎn  # 撿
U+64C1: yōng  # 擁
U+64C7: zé  # 擇
U+64CA: jī  # 擊
U+64CB: dǎng  # 擋
U+64CD: cāo  # 操
U+64D4: dān,dàn,dan  # 擔
U+64DA: jù  # 據
U+64E0: jǐ  # 擠
U+64E6: cā  # 擦
U+64EC: nǐ  # 擬
U+64F0: níng  # 擰
U+64F1: gē,ge  # 擱
U+64F2: zhì  # 擲
U+64F4: kuò  # 擴
U+64FA: bǎi  # 擺
U+64FE: rǎo  # 擾
U+6500: pān  # 攀
U+6506: niǎn  # 攆
U+650F: lǒng  # 攏
U+6512: zǎn  # 攒
U+6514: lán  # 攔
U+6519: chān  # 攙
U+651C: xié  # 攜
U+651D: shè  # 攝
U+6522: zǎn  # 攢
U+6524: tān  # 攤
U+6525: zuàn  # 攥
U+652A: jiǎo  # 攪
U+652F: zhī  # 支
U+6536: shōu  # 收
U+6539: gǎi  # 改
U+653B: gōng  # 攻
U+653E: fàng  # 放
U+653F: zhèng  # 政
U+6545: gù  # 故
U+6548: xiào  # 效
U+654C: dí  # 敌
U+654F: mǐn  # 敏
U+6551: jiù  # 救
U+6557: bài  # 敗
U+6558: xù  # 敘
U+6559: jiào,jiāo  # 教
U+655E: chang  # 敞
U+6562: gǎn  # 敢
U+6563: sàn,sǎn  # 散
U+656C: jìng  # 敬
U+6570: shù,shǔ,shu  # 数
U+6572: qiāo  # 敲
U+6574: zhěng  # 整
U+6575: dí  # 敵
U+6577: fū  # 敷
U+6578: shù,shǔ,shu  # 數
U+6583: bì  # 斃
U+6587: wén  # 文
U+6597: dòu  # 斗
U+6599: liào  # 料
U+659C: xié  # 斜
U+65A4: jīn  # 斤
U+65A5: chì  # 斥
U+65A7: fǔ  # 斧
U+65AD: duàn  # 断
U+65AF: sī  # 斯
U+65B0: xīn  # 新
U+65B7: duàn  # 斷
U+65B9: fāng,fang  # 方
U+65BD: shī  # 施
U+65C1: páng  # 旁
U+65C5: lǚ  # 旅
U+65CB: xuán  # 旋
U+65CF: zú  # 族
U+65D7: qí  # 旗
U+65E0: wú  # 无
U+65E2: jì  # 既
U+65E5: rì  # 日
U+65E6: dàn  # 旦
U+65E7: jiù  # 旧
U+65E9: zǎo  # 早
U+65EC: xún  # 旬
U+65F1: hàn  # 旱
U+65F6: shí  # 时
U+65F7: kuàng  # 旷
U+65FA: wàng  # 旺
U+6602: áng  # 昂
U+6606: kūn  # 昆
U+660E: míng,ming  # 明
U+660F: hūn,hún  # 昏
U+6613: yì  # 易
U+661F: xīng  # 星
U+6620: yìng  # 映
U+6625: chūn  # 春
U+6627: mèi  # 昧
U+6628: zuó  # 昨
U+662F: shì,shi  # 是
U+663C: zhòu  # 昼
U+663E: xiǎn  # 显
U+6642: shí  # 時
U+6643: huang,huàng,huǎng  # 晃
U+664C: shǎng  # 晌
U+6652: shài  # 晒
U+6653: xiǎo  # 晓
U+6655: yūn  # 晕
U+665A: wǎn  # 晚
U+665D: zhòu  # 晝
U+6668: chen,chén  # 晨
U+666E: pǔ  # 普
U+666F: jǐng  # 景
U+6670: xī  # 晰
U+6674: qíng  # 晴
U+6676: jīng  # 晶
U+667A: zhì  # 智
U+667E: liàng  # 晾
U+6682: zàn  # 暂
U+6684: xuān  # 暄
U+6688: yūn  # 暈
U+6691: shǔ  # 暑
U+6696: nuǎn  # 暖
U+6697: àn  # 暗
U+66A2: chàng  # 暢
U+66AB: zàn  # 暫
U+66B4: bào  # 暴
U+66C9: xiǎo  # 曉
U+66E0: kuàng  # 曠
U+66F0: yuē  # 曰
U+66F2: qū,qǔ  # 曲
U+66F4: gèng,gēng  # 更
U+66F8: shū  # 書
U+66FE: céng  # 曾
U+66FF: tì  # 替
U+6700: zuì  # 最
U+6703: huì,kuài  # 會
U+6708: yuè,yue  # 月
U+6709: yǒu  # 有
U+670B: péng  # 朋
U+670D: fú,fu  # 服
U+6717: lǎng  # 朗
U+671B: wàng,wang  # 望
U+671D: cháo,zhāo  # 朝
U+671F: qī  # 期
U+6726: méng  # 朦
U+6727: lóng  # 朧
U+6728: mù  # 木
U+672A: wèi  # 未
U+672B: mò  # 末
U+672C: běn  # 本
U+672E: shù  # 朮
U+672F: shù  # 术
U+6734: pǔ  # 朴
U+6735: duo,duǒ  # 朵
U+673A: jī  # 机
U+673D: xiǔ  # 朽
U+6740: shā  # 杀
U+6742: zá  # 杂
U+6743: quán  # 权
U+6746: gān,gǎn  # 杆
U+6749: shān  # 杉
U+674E: li  # 李
U+6750: cái,cai  # 材
U+6751: cūn  # 村
U+675C: dù  # 杜
U+675F: shù  # 束
U+6761: tiáo  # 条
U+6765: lái  # 来
U+6768: yáng  # 杨
U+676F: bēi  # 杯
U+6770: jié  # 杰
U+6771: dōng  # 東
U+677E: sōng  # 松
U+677F: bǎn  # 板
U+6781: jí  # 极
U+6784: gòu  # 构
U+6789: wang  # 枉
U+6790: xī  # 析
U+6795: zhěn  # 枕
U+6797: lín  # 林
U+679A: méi  # 枚
U+679C: guǒ  # 果
U+679D: zhī  # 枝
U+67A2: shū  # 枢
U+67A3: zǎo  # 枣
U+67AA: qiāng  # 枪
U+67AF: kū  # 枯
U+67B6: jià  # 架
U+67C4: bǐng  # 柄
U+67CF: bǎi  # 柏
U+67D0: mǒu  # 某
U+67D3: rǎn  # 染
U+67D4: róu  # 柔
U+67DC: guì  # 柜
U+67E5: chá  # 查
U+67F1: zhù  # 柱
U+67F3: liǔ  # 柳
U+67F4: chái  # 柴
U+6807: biāo  # 标
U+680F: lán  # 栏
U+6811: shù  # 树
U+6821: xiào  # 校
U+682A: zhū  # 株
U+6837: yàng  # 样
U+6838: hé  # 核
U+6839: gēn  # 根
U+683C: gé,ge  # 格
U+683D: zāi  # 栽
U+6843: táo  # 桃
U+6845: wéi  # 桅
U+6846: kuāng,kuàng  # 框
U+6848: àn  # 案
U+684C: zhuō  # 桌
U+6851: sāng  # 桑
U+6854: jú  # 桔
U+6863: dàng  # 档
U+6865: qiáo  # 桥
U+6866: huà  # 桦
U+6868: jiǎng  # 桨
U+6869: zhuāng  # 桩
U+6876: tǒng  # 桶
U+6881: liáng,liang  # 梁
U+6885: méi  # 梅
U+6886: bāng  # 梆
U+6897: gěng  # 梗
U+689D: tiáo  # 條
U+68A2: shāo  # 梢
U+68A6: mèng  # 梦
U+68A8: lí  # 梨
U+68AF: tī  # 梯
U+68B0: xiè  # 械
U+68B3: shū  # 梳
U+68C0: jiǎn  # 检
U+68C4: qì  # 棄
U+68C9: mián  # 棉
U+68CB: qí  # 棋
U+68CD: gùn  # 棍
U+68D2: bàng  # 棒
U+68D7: zǎo  # 棗
U+68DA: péng,peng  # 棚
U+68EE: sēn  # 森
U+68F5: kē  # 棵
U+68FA: guān  # 棺
U+6905: yǐ  # 椅
U+690D: zhí  # 植
U+6912: jiāo  # 椒
U+692D: tuǒ  # 椭
U+694A: yáng  # 楊
U+695A: chu  # 楚
U+696D: yè  # 業
U+6975: jí  # 極
U+697C: lóu  # 楼
U+6982: gài  # 概
U+6995: róng  # 榕
U+699C: bǎng  # 榜
U+69AE: róng  # 榮
U+69B4: liú  # 榴
U+69CB: gòu  # 構
U+69CD: qiāng  # 槍
U+69D0: huái  # 槐
U+69DB: kǎn  # 槛
U+69F3: jiǎng  # 槳
U+69FD: cáo  # 槽
U+6A01: zhuāng  # 樁
U+6A02: lè,yuè  # 樂
U+6A13: lóu  # 樓
U+6A19: biāo  # 標
U+6A1E: shū  # 樞
U+6A1F: zhāng  # 樟
U+6A21: mó,mú  # 模
U+6A23: yàng  # 樣
U+6A2A: héng  # 横
U+6A39: shù  # 樹
U+6A3A: huà  # 樺
U+6A4B: qiáo  # 橋
U+6A58: jú  # 橘
U+6A5F: jī  # 機
U+6A61: xiàng  # 橡
U+6A62: tuǒ  # 橢
U+6A6B: héng  # 橫
U+6A90: yán  # 檐
U+6A94: dàng  # 檔
U+6AA2: jiǎn  # 檢
U+6ABB: kǎn  # 檻
U+6B04: lán  # 欄
U+6B0A: quán  # 權
U+6B20: qiàn,qian  # 欠
U+6B21: cì  # 次
U+6B22: huan,huān  # 欢
U+6B23: xīn  # 欣
U+6B27: ōu  # 欧
U+6B32: yù  # 欲
U+6B3A: qī  # 欺
U+6B3D: qīn  # 欽
U+6B3E: kuǎn  # 款
U+6B47: xiē  # 歇
U+6B49: qiàn  # 歉
U+6B4C: gē,ge  # 歌
U+6B50: ōu  # 歐
U+6B61: huan,huān  # 歡
U+6B62: zhǐ  # 止
U+6B63: zhèng,zheng,zhēng  # 正
U+6B64: cǐ  # 此
U+6B65: bù  # 步
U+6B66: wǔ  # 武
U+6B6A: wāi  # 歪
U+6B72: suì  # 歲
U+6B77: lì  # 歷
U+6B78: guī  # 歸
U+6B7B: sǐ  # 死
U+6B7C: jiān  # 歼
U+6B8A: shū  # 殊
U+6B8B: cán  # 残
U+6B96: zhí  # 殖
U+6B98: cán  # 殘
U+6BB2: jiān  # 殲
U+6BB5: duàn  # 段
U+6BBA: shā  # 殺
U+6BBC: ké,qiào  # 殼
U+6BBF: diàn  # 殿
U+6BC0: huǐ  # 毀
U+6BC1: huǐ  # 毁
U+6BC5: yì  # 毅
U+6BCD: mǔ  # 母
U+6BCF: měi  # 每
U+6BD2: dú  # 毒
U+6BD4: bǐ  # 比
U+6BD5: bì  # 毕
U+6BD9: bì  # 毙
U+6BDB: máo,mao  # 毛
U+6BE1: zhān  # 毡
U+6BEB: háo  # 毫
U+6BEF: tǎn  # 毯
U+6C08: zhān  # 氈
U+6C0F: shì  # 氏
U+6C11: mín  # 民
U+6C13: máng  # 氓
U+6C14: qì,qi  # 气
U+6C1B: fēn  # 氛
U+6C22: qīng  # 氢
U+6C23: qì,qi  # 氣
U+6C27: yǎng  # 氧
U+6C28: ān  # 氨
U+6C2B: qīng  # 氫
U+6C2E: dàn  # 氮
U+6C34: shuǐ  # 水
U+6C38: yǒng  # 永
U+6C41: zhī  # 汁
U+6C42: qiú  # 求
U+6C47: huì  # 汇
U+6C49: hàn  # 汉
U+6C57: hàn  # 汗
U+6C5B: xùn  # 汛
U+6C5E: gǒng  # 汞
U+6C5F: jiāng  # 江
U+6C60: chí  # 池
U+6C61: wū  # 污
U+6C64: tāng,tang  # 汤
U+6C6A: wāng  # 汪
U+6C70: tài  # 汰
U+6C79: xiōng  # 汹
U+6C7A: jué  # 決
U+6C7D: qì  # 汽
U+6C83: wò  # 沃
U+6C89: chén,chēn  # 沉
U+6C8F: qī  # 沏
U+6C92: méi,mò  # 沒
U+6C96: chōng,chòng  # 沖
U+6C99: shā  # 沙
U+6C9B: pèi  # 沛
U+6C9F: gōu  # 沟
U+6CA1: méi,mò  # 没
U+6CA5: lì  # 沥
U+6CAB: mò,mo  # 沫
U+6CB3: hé  # 河
U+6CB8: fèi  # 沸
U+6CB9: yóu  # 油
U+6CBB: zhì  # 治
U+6CBE: zhān  # 沾
U+6CBF: yán,yàn  # 沿
U+6CC1: kuàng  # 況
U+6CC4: xiè  # 泄
U+6CC9: quán  # 泉
U+6CCA: pō,bó  # 泊
U+6CCC: mì  # 泌
U+6CD5: fǎ,fa  # 法
U+6CDB: fàn  # 泛
U+6CE1: pào  # 泡
U+6CE2: bō  # 波
U+6CE3: qì  # 泣
U+6CE5: ní  # 泥
U+6CE8: zhù  # 注
U+6CEA: lèi  # 泪
U+6CF3: yǒng  # 泳
U+6CF5: bèng  # 泵
U+6CFC: po,pō  # 泼
U+6D01: jié  # 洁
U+6D0B: yáng  # 洋
U+6D12: sǎ  # 洒
U+6D17: xǐ  # 洗
U+6D1E: dòng  # 洞
U+6D25: jīn  # 津
U+6D2A: hóng  # 洪
U+6D32: zhōu  # 洲
U+6D36: xiōng  # 洶
U+6D3B: huó,huo  # 活
U+6D3E: pài  # 派
U+6D41: liú  # 流
U+6D45: qiǎn  # 浅
U+6D46: jiāng  # 浆
U+6D47: jiāo  # 浇
U+6D4A: zhuó  # 浊
U+6D4B: cè  # 测
U+6D4E: jì  # 济
U+6D51: hún  # 浑
U+6D53: nóng  # 浓
U+6D69: hào  # 浩
U+6D6A: làng  # 浪
U+6D6E: fú  # 浮
U+6D77: hǎi  # 海
U+6D78: jìn  # 浸
U+6D82: tu,tú  # 涂
U+6D88: xiāo  # 消
U+6D89: shè  # 涉
U+6D8C: yǒng  # 涌
U+6D95: tì  # 涕
U+6D9B: tāo  # 涛
U+6DA1: wō  # 涡
U+6DA4: dí  # 涤
U+6DA6: rùn  # 润
U+6DA8: zhǎng,zhàng  # 涨
U+6DB2: yè  # 液
U+6DBC: liáng  # 涼
U+6DC0: diàn  # 淀
U+6DCB: lín  # 淋
U+6DCC: tǎng  # 淌
U+6DD2: qī  # 淒
U+6DD8: táo  # 淘
U+6DDA: lèi  # 淚
U+6DE1: dàn  # 淡
U+6DE8: jìng  # 淨
U+6DF1: shēn  # 深
U+6DF3: chún  # 淳
U+6DF7: hùn,hún  # 混
U+6DF9: yān  # 淹
U+6DFA: qiǎn  # 淺
U+6DFB: tiān  # 添
U+6E05: qīng  # 清
U+6E10: jiàn  # 渐
U+6E14: yú  # 渔
U+6E17: shèn  # 渗
U+6E1B: jiǎn  # 減
U+6E20: qú  # 渠
U+6E21: dù  # 渡
U+6E23: zhā  # 渣
U+6E26: wō  # 渦
U+6E29: wēn  # 温
U+6E2C: cè  # 測
U+6E2F: gǎng  # 港
U+6E34: kě  # 渴
U+6E38: yóu  # 游
U+6E3A: miǎo  # 渺
U+6E3E: hún  # 渾
U+6E43: pài  # 湃
U+6E4A: còu  # 湊
U+6E56: hú  # 湖
U+6E6F: tāng,tang  # 湯
U+6E7E: wān  # 湾
U+6E7F: shī  # 湿
U+6E83: kuì  # 溃
U+6E85: jiàn  # 溅
U+6E89: gài  # 溉
U+6E90: yuán  # 源
U+6E9C: liū  # 溜
U+6E9D: gōu  # 溝
U+6EAA: xī  # 溪
U+6EAB: wēn  # 溫
U+6EB6: róng  # 溶
U+6EC5: miè  # 滅
U+6ECB: zī  # 滋
U+6ECC: dí  # 滌
